t d dw dc
0.1015 0.3023486238 0.3408672184 0.3023461602
0.102 0.3044221227 0.3391526675 0.3044196422
0.1025 0.3064330986 0.3372765727 0.3064306017
0.103 0.3083846393 0.3352429858 0.3083821265
0.1035 0.310279909 0.3330562386 0.3102773807
0.104 0.312122139 0.3307209346 0.3121195958
0.1045 0.3139146185 0.3282419407 0.3139120606
0.105 0.315660684 0.3256243778 0.315658112
0.1055 0.3173637107 0.322873611 0.3173611247
0.106 0.3190271016 0.3199952392 0.3190245021
0.1065 0.3206542785 0.3169950844 0.3206516658
0.107 0.3222486719 0.3138791797 0.3222460461
0.1075 0.323813711 0.310653758 0.3238110725
0.108 0.3253528143 0.307325239 0.3253501633
0.1085 0.3268693799 0.3039002167 0.3268667165
0.109 0.3283667757 0.3003854456 0.3283641001
0.1095 0.3298483302 0.2967878276 0.3298456425
0.11 0.3313173228 0.2931143974 0.3313146232
0.1105 0.3327769752 0.2893723083 0.3327742637
0.111 0.3342304419 0.2855688173 0.3342277186
0.1115 0.3356808018 0.2817112703 0.3356780666
0.112 0.3371310491 0.2778070865 0.3371283021
0.1125 0.3385840857 0.2738637433 0.3385813269
0.113 0.3400427124 0.26988876 0.3400399417
0.1135 0.3415096216 0.2658896827 0.3415068389
0.114 0.3429873894 0.261874068 0.3429845946
0.1145 0.3444784687 0.2578494668 0.3444756618
0.115 0.3459851822 0.2538234084 0.345982363
0.1155 0.3475097157 0.2498033846 0.3475068841
0.116 0.3490541121 0.2457968334 0.3490512679
0.1165 0.3506202655 0.2418111229 0.3506174086
0.117 0.3522099159 0.2378535356 0.352207046
0.1175 0.3538246435 0.2339312527 0.3538217605
0.118 0.3554658651 0.230051338 0.3554629686
0.1185 0.3571348287 0.2262207231 0.3571319187
0.119 0.3588326107 0.2224461917 0.3588296869
0.1195 0.3605601117 0.218734365 0.3605571738
0.12 0.362318054 0.2150916869 0.3623151018
0.1205 0.3641069789 0.2115244096 0.3641040121
0.121 0.3659272445 0.20803858 0.3659242628
0.1215 0.3677790244 0.2046400258 0.3677760276
0.122 0.3696623061 0.2013343429 0.369659294
0.1225 0.3715768907 0.1981268819 0.371573863
0.123 0.3735223924 0.1950227368 0.3735193489
0.1235 0.3754982386 0.1920267328 0.375495179
0.124 0.3775036707 0.1891434156 0.3775005947
0.1245 0.3795377452 0.1863770403 0.3795346526
0.125 0.381599335 0.1837315619 0.3815962257
0.1255 0.3836871318 0.1812106258 0.3836840055
0.126 0.3857996482 0.1788175591 0.3857965047
0.1265 0.3879352207 0.1765553627 0.3879320597
0.127 0.3900920127 0.1744267034 0.3900888341
0.1275 0.3922680187 0.172433908 0.3922648224
0.128 0.3944610681 0.1705789567 0.3944578539
0.1285 0.3966688296 0.1688634783 0.3966655974
0.129 0.3988888163 0.1672887453 0.3988855661
0.1295 0.4011183911 0.1658556705 0.4011151227
0.13 0.4033547719 0.1645648038 0.4033514853
0.1305 0.4055950379 0.1634163303 0.405591733
0.131 0.4078361358 0.1624100684 0.4078328127
0.1315 0.4100748867 0.1615454695 0.4100715453
0.132 0.4123079924 0.1608216183 0.4123046329
0.1325 0.4145320435 0.1602372333 0.4145286658
0.133 0.4167435262 0.1597906687 0.4167401305
0.1335 0.4189388303 0.1594799171 0.4189354167
0.134 0.4211142572 0.1593026127 0.4211108259
0.1345 0.4232660282 0.1592560355 0.4232625793
0.135 0.4253902927 0.1593371157 0.4253868265
0.1355 0.4274831368 0.1595424402 0.4274796536
0.136 0.4295405923 0.159868258 0.4295370923
0.1365 0.4315586453 0.1603104883 0.4315551289
0.137 0.4335332453 0.1608647276 0.4335297128
0.1375 0.4354603143 0.161526259 0.4354567661
0.138 0.4373357558 0.1622900607 0.4373321923
0.1385 0.4391554643 0.1631508168 0.439151886
0.139 0.4409153344 0.1641029275 0.4409117418
0.1395 0.4426112701 0.1651405205 0.4426076637
0.14 0.444239194 0.1662574628 0.4442355742
0.1405 0.4457950565 0.1674473736 0.445791424
0.141 0.447274845 0.1687036369 0.4472712005
0.1415 0.4486745932 0.1700194155 0.4486709373
0.142 0.4499903899 0.1713876652 0.4499867233
0.1425 0.4512183877 0.172801149 0.4512147111
0.143 0.4523548123 0.1742524529 0.4523511264
0.1435 0.4533959705 0.1757340008 0.4533922762
0.144 0.4543382592 0.1772380709 0.4543345571
0.1445 0.455178173 0.1787568119 0.4551744641
